Ідентифікатор в реєстрі,Ім'я/назва суб'єкта,Тип,Статус,Указ Президента,Дата введення в дію,США,Велика Британія,Канада,ЄС,Швейцарія,Японія,Австралія,Нова Зеландія,Посилання на рішення
18554,"Акціонерне товариство ""Совкомбанк страхування""",legal,active,726/2022,2022-10-19,,,,,,,,,
18555,"Акціонерне товариство ""РТС-холдинг""",legal,active,726/2022,2022-10-19,,,,,,,,,
18556,Відкрите акціонерне товариство «558 авіаційний ремонтний завод»,legal,active,726/2022,2022-10-19,,,,,,,,,
18557,Відкрите акціонерне товариство «Інтеграл»-керуюча компанія холдингу «Інтеграл»,legal,active,726/2022,2022-10-19,,,,,,,,,
18560,Управління справами Президента Російської Федерації,legal,active,726/2022,2022-10-19,,,,,,,,,
18561,"Відкрите акціонерне товариство ""Комсомольське-на-Амурі авіаційне виробниче об'єднання імені Ю.О. Гагарина""",legal,active,726/2022,2022-10-19,,,,,,,,,
18562,"Акціонерне товариство ""Концерн ""Радіотехнічні та інформаційні системи""",legal,active,726/2022,2022-10-19,,,,,,,,,
18563,"Акціонерне товариство ""Цивільні літаки Сухого""",legal,active,726/2022,2022-10-19,,,,,,,,,
18564,Державний військово-промисловий комітет Республіки Білорусь,legal,active,726/2022,2022-10-19,,,,,,,,,
18565,"Науково-виробниче товариство з обмеженою відповідальністю ""ОКБ ТСП""",legal,active,726/2022,2022-10-19,,,,,,,,,
18566,"Товариство з обмеженою відповідальністю ""Оборонні ініціативи""",legal,active,726/2022,2022-10-19,,,,,,,,,
18567,"Державне зовнішньоторговельне унітарне підприємство ""Бєлспецвнєштехніка""",legal,active,726/2022,2022-10-19,,,,,,,,,
18568,"Товариство з обмеженою відповідальністю ""Керуюча компанія РВК""",legal,active,726/2022,2022-10-19,,,,,,,,,
18569,"Акціонерне товариство ""Науково-виробнича корпорація ""Конструкторське бюро машинобудування""",legal,active,726/2022,2022-10-19,,,,,,,,,
18570,"Публічне акціонерне товариство ""ОДК-Уфімське моторобудівне виробниче об'єднання""",legal,active,726/2022,2022-10-19,,,,,,,,,
18571,Ті.Джі.Ей. Ді.Оу.Оу. за торгівлю і послуги,legal,active,726/2022,2022-10-19,,,,,,,,,
18572,"Акціонерне товариство ""Новосибірський авіаремонтний завод""",legal,active,726/2022,2022-10-19,,,,,,,,,
18573,Катіна Ді.Оу.Оу.,legal,active,726/2022,2022-10-19,,,,,,,,,
18574,"Товариство з обмеженою відповідальністю ""Зарєчьє-4""",legal,active,726/2022,2022-10-19,,,,,,,,,
18575,"Федеральне державне унітарне підприємство ""Всеросійський науково-дослідний інститут авіаційних матеріалів"" Національного дослідницького центру ""Курчатовський інститут""",legal,active,726/2022,2022-10-19,,,,,,,,,
